"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 14:33:23 IST 2024","Tue May 14 14:34:11 IST 2024","47417","validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.WorkTemplateValidateRecordsToDisplay","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.WorkTemplateValidateRecordsToDisplay","workTemplatePDFValidation","WorkTemplate Validate Records To Display.","WorkTemplate Validate Records To Display."
"passed","Tue May 14 14:40:29 IST 2024","Tue May 14 14:40:48 IST 2024","19052","Suite","ie","net.testcases_superadmin.DataComponentsVerify","net.testcases_superadmin.DataComponentsVerify","dataComponentsVerify","dataComponentsVerify","Test Description: data components download validation "
"passed","Tue May 14 14:39:28 IST 2024","Tue May 14 14:39:39 IST 2024","10996","Suite","ie","net.testcases_superadmin.ClientExcelExport","net.testcases_superadmin.ClientExcelExport","clientExcelExport","clientExcelExport","Test Description: Client excel export validation"
"passed","Tue May 14 14:33:40 IST 2024","Tue May 14 14:34:01 IST 2024","21303","Suite","ie","net.testcases_superadmin.GlobalTimeZonePdfExport","net.testcases_superadmin.GlobalTimeZonePdfExport","globalTimeZoneActive","globalTimeZoneActive","Test Description: Global Language PDF export validation"
"passed","Wed May 15 17:02:15 IST 2024","Wed May 15 17:02:33 IST 2024","18344","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu.ValidateActionModifyAuditTrail","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu.ValidateActionModifyAuditTrail","actionModify","Audit Trail actionModify.","Audit Trail actionModify."
"passed","Tue May 14 17:55:21 IST 2024","Tue May 14 17:55:30 IST 2024","8779","softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitationClear","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitationClear","softwareDefinitationClear","Software DefinitationClear","Software DefinitationClear"
"passed","Tue May 14 14:30:38 IST 2024","Tue May 14 14:31:09 IST 2024","30373","Suite","ie","net.testcases_superadmin.CustomAdapterRequiredField","net.testcases_superadmin.CustomAdapterRequiredField","customAdapterRequiredField","customAdapterRequiredField","Test Description: Custom Adapter date validation"
"passed","Wed May 15 17:15:28 IST 2024","Wed May 15 17:16:01 IST 2024","33638","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerDontAllowUserToExportDataPDF2","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerDontAllowUserToExportDataPDF2","userRolesModifyManagerDontAllowUserToExportDataPDF2","userRolesModifyManagerDontAllowUserToExportDataPDF2","Test Description:  "
"passed","Tue May 14 14:33:21 IST 2024","Tue May 14 14:33:38 IST 2024","16565","Suite","ie","net.testcases_superadmin.GlobalTimeZoneActive","net.testcases_superadmin.GlobalTimeZoneActive","globalTimeZoneActive","globalTimeZoneActive","Test Description: Global Language PDF export validation"
"passed","Wed May 15 15:38:55 IST 2024","Wed May 15 15:39:09 IST 2024","13946","net.testcases_wrokflowmodule.validate_customattribute_bulkupload","net.testcases_wrokflowmodule.validate_customattribute_bulkupload","net.testcases_wrokflowmodule.validate_customattribute_bulkupload.CustomAttributeWithDuplicateName","net.testcases_wrokflowmodule.validate_customattribute_bulkupload.CustomAttributeWithDuplicateName","customAttributeWithDuplicateName","Custom Attribute With DuplicateName","Custom Attribute With DuplicateName"
"passed","Wed May 15 12:25:52 IST 2024","Wed May 15 12:27:16 IST 2024","84075","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyMemberToManager","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyMemberToManager","userRolesModifyMemberToManager","userRolesModifyMemberToManager","Test Description: Here we are verifying whether we are able to modify "
"passed","Tue May 14 14:29:47 IST 2024","Tue May 14 14:30:24 IST 2024","36386","validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.WorkTemplateDelete","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.WorkTemplateDelete","workTemplateDelete","Delete the WorkTemplate DefineDayType and validate if it has been successfully Deleted.","Delete the WorkTemplate DefineDayType and validate if it has been successfully Deleted."
